id;x;y;camada;soc;cobertura;solo;clay;silt;sand
238;752996.014;6896270.147;1;3.02;lavoura;latossolo vermelho;67;27;6
239;753072.121;6896781.717;1;2.65;lavoura;latossolo vermelho;57;34;9
240;753191;6897051;1;2.90;lavoura;latossolo vermelho;51;39;10
241;753740.3635;6897184.319;1;2.84;lavoura;latossolo vermelho;62;30;8
242;754571.592;6897416.286;1;2.67;lavoura;gleissolo haplico;51;37;12
243;754761.924;6897389.478;1;2.71;lavoura;latossolo vermelho;55;32;13
244;754353;6897362;1;2.49;lavoura;latossolo vermelho;53;31;16
245;753847;6895229;1;2.85;campo nativo;gleissolo haplico;47;39;14
246;753549;6896440;1;3.19;campo nativo;gleissolo haplico;66;28;6
247;753697;6895715;1;4.52;lavoura;gleissolo haplico;42;44;14
248;752759;6895608;1;2.43;lavoura;latossolo vermelho;59;33;8
249;753418;6896667;1;5.08;floresta nativa;latossolo vermelho;51;34;15
250;753325;6896432;1;2.58;lavoura;latossolo vermelho;59;31;10
251;753385;6895616;1;2.11;lavoura;latossolo vermelho;57;35;8
252;753133;6895289;1;2.26;lavoura;latossolo vermelho;50;34;16
253;752725;6895189;1;1.85;lavoura;latossolo vermelho;55;36;9
254;752508;6895258;1;2.62;lavoura;latossolo vermelho;58;35;7
255;752949;6896542;1;3.27;lavoura;latossolo vermelho;58;32;10
256;753832;6897037;1;3.18;floresta nativa;latossolo vermelho;62;31;7
257;753402;6896783;1;1.98;lavoura;latossolo vermelho;51;39;10
258;752750;6896238;1;2.47;lavoura;latossolo vermelho;59;34;7
259;753048;6895998;1;2.14;lavoura;latossolo vermelho;60;34;6
260;753696;6895458;1;2.06;lavoura;latossolo vermelho;55;35;10
261;751937;6894847;1;2.22;lavoura;latossolo vermelho;55;33;12
